prof_name,prof_id,salary_q25,salary_q50,salary_q75,frequency,popular_skills
Аналитик,0,50000,73950,115000,0.3073871150576233,"Аналитическое мышление, SQL, Английский, Анализ данных, Анализ рынка, MS Excel, Python, 1С: Предприятие 8, Работа с большим объемом информации, Power BI"
Аналитик BI,1,82750,102500,134850,0.011335726431135461,"SQL, Аналитическое мышление, Power BI, BI, Английский, Анализ данных, Tableau, Работа с большим объемом информации, Базы данных, Python"
Big Data,2,95175,100000,225000,0.05970149253731343,"SQL, Python, Работа с большим объемом информации, ETL, DWH, Hadoop, Базы данных, PostgreSQL, Spark, Английский"
NLP,3,100000,130500,225000,0.009635367466465143,"Python, Machine Learning, Английский, NLP, PyTorch, Computer Vision, SQL, OpenCV, Data Science, Git"
Data Scientist,4,60900,120000,240000,0.09238617041375402,"Python, Machine Learning, SQL, Английский, Математическая статистика, Data Science, Анализ данных, Работа с большим объемом информации, Pandas, PyTorch"
Администратор баз данных,5,45000,100000,160000,0.048176837332325716,"Базы данных, PostgreSQL, MS SQL, Linux, SQL, ORACLE, Работа с базами данных, Администрирование, Английский, 1С: Предприятие 8"
Продуктовый аналитик,6,155400,195700,200000,0.016625732098998678,"SQL, Python, Анализ данных, Аналитическое мышление, Математическая статистика, A/B тесты, Power BI, Tableau, Английский, Аналитические исследования"
Инженер данных,7,102500,200000,300000,0.12185905913470621,"SQL, Python, ETL, Hadoop, Базы данных, PostgreSQL, Spark, Английский, Работа с большим объемом информации, DWH"
Аналитик данных,8,65000,90000,150000,0.13149442660117136,"SQL, Анализ данных, Python, Аналитическое мышление, Power BI, Английский, Математическая статистика, MS Excel, Работа с большим объемом информации, Базы данных"
Computer Vision,9,115000,137025,233750,0.006990364632533535,"Python, Английский, Computer Vision, OpenCV, SQL, PyTorch, Machine Learning, Git, Tensorflow, Data Science"
Системный аналитик,10,88125,141250,200000,0.07878329869639146,"SQL, Системный анализ, BPMN, UML, REST, Разработка технических заданий, Аналитическое мышление, Бизнес-анализ, Английский, XML"
ML инженер,11,26000,120000,219375,0.067447572265256,"Python, Machine Learning, SQL, Английский, PyTorch, PostgreSQL, Linux, Работа с большим объемом информации, ETL, Git"
Бизнес-аналитик,12,60900,100000,140000,0.1643680332514642,"Бизнес-анализ, Моделирование бизнес процессов, Аналитическое мышление, BPMN, 1С: Предприятие 8, Английский, SQL, Разработка технических заданий, Деловая коммуникация, UML"
